word,label,is_ne
Parurusahan,FIL,
at,FIL,
mananagot,FIL,
ang,FIL,
mga,FIL,
taong,FIL,
mapatutunayang,FIL,
lumabas,FIL,
sa,FIL,
ECC,OTH,ABB
conditions,ENG,
o,FIL,
enviromental,ENG,
regulations,ENG,
",",OTH,
ayon,FIL,
pa,FIL,
sa,FIL,
DENR,OTH,ABB_NE
.,OTH,
Kaliwa't,FIL,
kanang,FIL,
pamba-bash,FIL,
ang,FIL,
natatanggap,FIL,
ngayon,FIL,
ni,FIL,
Slater,OTH,NE
Young,OTH,NE
at,FIL,
ng,FIL,
kanyang,FIL,
mga,FIL,
kasamahan,FIL,
sa,FIL,
likod,FIL,
ng,FIL,
Monterrazas,OTH,NE
de,OTH,
Cebu,OTH,NE
dahil,FIL,
ito,FIL,
raw,FIL,
ang,FIL,
dahilan,FIL,
ng,FIL,
grabeng,FIL,
pagbaha,FIL,
sa,FIL,
Cebu,OTH,NE
na,FIL,
ikinamatay,FIL,
ng,FIL,
mahigit,FIL,
100,OTH,
katao,FIL,
at,FIL,
pagkawasak,FIL,
ng,FIL,
libu-libong,FIL,
ari-arian,FIL,
.,OTH,
Matatandaang,FIL,
ibinandera,FIL,
ni,FIL,
Slater,OTH,NE
ang,FIL,
naturang,FIL,
proyekto,FIL,
sa,FIL,
kanyang,FIL,
YouTube,OTH,NE
vlog,ENG,
noong,FIL,
August,OTH,NE
",",OTH,
2023,OTH,
.,OTH,
Depensa,FIL,
ng,FIL,
dating,FIL,
aktor,FIL,
sa,FIL,
pambebengga,FIL,
sa,FIL,
kanya,FIL,
ng,FIL,
netizens,ENG,
",",OTH,
"""",OTH,
This,ENG,
is,ENG,
just,ENG,
a,ENG,
small,ENG,
",",OTH,
small,ENG,
portion,ENG,
of,ENG,
the,ENG,
mountain,ENG,
",",OTH,
at,ENG,
the,ENG,
foot,ENG,
of,ENG,
the,ENG,
mountain,ENG,
.,OTH,
"""",OTH,
"""",OTH,
This,ENG,
only,ENG,
has,ENG,
146,OTH,
units,ENG,
.,OTH,
So,ENG,
",",OTH,
very,ENG,
exclusive,ENG,
ito,FIL,
.,OTH,
Of,ENG,
course,ENG,
",",OTH,
it's,ENG,
still,ENG,
big,ENG,
",",OTH,
no,ENG,
doubt,ENG,
about,ENG,
it,ENG,
.,OTH,
But,ENG,
hindi,FIL,
siya,FIL,
yung,FIL,
buong,FIL,
bundok,FIL,
.,OTH,
It's,ENG,
just,ENG,
the,ENG,
side,ENG,
of,ENG,
a,ENG,
mountain,ENG,
.,OTH,
And,ENG,
even,ENG,
if,ENG,
you,ENG,
go,ENG,
to,ENG,
Google,OTH,NE
Earth,OTH,NE
and,ENG,
you,ENG,
look,ENG,
at,ENG,
that,ENG,
site,ENG,
",",OTH,
wala,FIL,
kayong,FIL,
makikita,FIL,
na,FIL,
forest,ENG,
there,ENG,
",",OTH,
"""",OTH,
aniya,FIL,
pa,FIL,
.,OTH,
